SMILES,Rewards,Imp,MW
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N(C2=CCNC(=O)C(N)O2)C=CC(F)=C1N)c1cccnc1O,"[0.568, 0.5099410230930629, 0.5041713701466249]",[0.434      0.13715547 0.33413927],472.54100000000017
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N(C2=CCNC(=O)C(N)O2)C=CC(F)=C1N)c1cccnc1O,"[0.568, 0.5099410230930629, 0.5041713701466249]",[0.434      0.13715547 0.33413927],0
Cc1ccc(CN2CC(O)=CC=C(C(=O)N3[C@@H]([CH]C(=O)C(C)c4cccnc4O)CCC[C@H]3C)C(N)=C2F)nc1,"[0.538, 0.44039598579070427, 0.5352088315752386]",[0.404      0.06761043 0.36517673],548.6390000000004
0:Cc1ccc(CN2CC(O)=CC=C(C(=O)N3[C@@H]([CH]C(=O)C(C)c4cccnc4O)CCC[C@H]3C)C(N)=C2F)nc1,"[0.538, 0.44039598579070427, 0.5352088315752386]",[0.404      0.06761043 0.36517673],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=C(O)N=CC(F)C([NH2+]Cc2ccc(Br)cc2Cl)=C1,"[0.535, 0.33010449440968004, 0.5454002746863902]",[ 0.401      -0.04268106  0.37536818],649.9640000000002
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=C(O)N=CC(F)C([NH2+]Cc2ccc(Br)cc2Cl)=C1,"[0.535, 0.33010449440968004, 0.5454002746863902]",[ 0.401      -0.04268106  0.37536818],0
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=CC=C(C#N)[C@@H](C)C(F)=C1N)c1cccnc1O,"[0.534, 0.705711547074086, 0.5201217812090262]",[0.4        0.33292599 0.35008968],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=CC=C(C#N)[C@@H](C)C(F)=C1N)c1cccnc1O,"[0.534, 0.705711547074086, 0.5201217812090262]",[0.4        0.33292599 0.35008968],451.52200000000016
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=C(O)[C@@H](O)C=CN=C1O,"[0.531, 0.5156954416765694, 0.5374873207854701]",[0.397      0.14290989 0.36745522],444.4830000000002
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=C(O)[C@@H](O)C=CN=C1O,"[0.531, 0.5156954416765694, 0.5374873207854701]",[0.397      0.14290989 0.36745522],0
0:CC(c1cccnc1O)C1CCC([C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)N(C)C=N1,"[0.53, 0.6578375859076491, 0.5532714161308685]",[0.396      0.28505203 0.38323932],0
CC(c1cccnc1O)C1CCC([C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)N(C)C=N1,"[0.53, 0.6578375859076491, 0.5532714161308685]",[0.396      0.28505203 0.38323932],467.58900000000017
0:CCSC1C=CN=CC2(C(=O)N3[C@@H]([CH]C(=O)C(C)c4cccnc4O)CCC[C@H]3C)C(N)=C(F)C=C[C@H]12,"[0.528, 0.5439323135525493, 0.5121166124728393]",[0.394      0.17114676 0.34208451],0
CCSC1C=CN=CC2(C(=O)N3[C@@H]([CH]C(=O)C(C)c4cccnc4O)CCC[C@H]3C)C(N)=C(F)C=C[C@H]12,"[0.528, 0.5439323135525493, 0.5121166124728393]",[0.394      0.17114676 0.34208451],525.6700000000003
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(O)[C@H]([C@@H]2CCCS[C@H]2N)C=CC(F)=C1N)c1cccnc1O,"[0.527, 0.42170117804602253, 0.5491827755578236]",[0.393      0.04891562 0.37915068],543.6850000000003
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(O)[C@H]([C@@H]2CCCS[C@H]2N)C=CC(F)=C1N)c1cccnc1O,"[0.527, 0.42170117804602253, 0.5491827755578236]",[0.393      0.04891562 0.37915068],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(O)[C@H]2CNC(=O)C2(C)C=CC(F)=C1N)c1cccnc1O,"[0.526, 0.47542653075950814, 0.5508788604850023]",[0.392      0.10264098 0.38084676],511.57400000000024
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)C1=C(O)[C@H]2CNC(=O)C2(C)C=CC(F)=C1N)c1cccnc1O,"[0.526, 0.47542653075950814, 0.5508788604850023]",[0.392      0.10264098 0.38084676],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=C(O)[C@@H]2CNC(=O)N[C@H]2CN(C)N=C1O,"[0.525, 0.36523429151592096, 0.5698810309482281]",[ 0.391      -0.00755126  0.39984893],529.5930000000003
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=C(O)[C@@H]2CNC(=O)N[C@H]2CN(C)N=C1O,"[0.525, 0.36523429151592096, 0.5698810309482281]",[ 0.391      -0.00755126  0.39984893],0
0:CC1=CC(C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)=C(O)[C@H](C)C(=O)N1,"[0.524, 0.585247153816577, 0.5296751723671089]",[0.39       0.2124616  0.35964307],0
CC1=CC(C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)=C(O)[C@H](C)C(=O)N1,"[0.524, 0.585247153816577, 0.5296751723671089]",[0.39       0.2124616  0.35964307],456.5380000000001
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=C(O)N=CC(O)CCN2CC2=C1,"[0.524, 0.4376154552144752, 0.5415480429301116]",[0.39       0.0648299  0.37151594],0
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1=C(O)N=CC(O)CCN2CC2=C1,"[0.524, 0.4376154552144752, 0.5415480429301116]",[0.39       0.0648299  0.37151594],483.5640000000003
0:Cc1ccccc1N1C(=S)CC[C@H]([CH]C(=O)C(C)c2cccnc2O)N(C(=O)c2cccc(F)c2N)[C@@H]1C,"[0.522, 0.3327507241310972, 0.5574861864560168]",[ 0.388      -0.04003483  0.38745409],0
Cc1ccccc1N1C(=S)CC[C@H]([CH]C(=O)C(C)c2cccnc2O)N(C(=O)c2cccc(F)c2N)[C@@H]1C,"[0.522, 0.3327507241310972, 0.5574861864560168]",[ 0.388      -0.04003483  0.38745409],533.6490000000002
0:CC1=C(C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)C(O)=NC=C[C@@H]1C(=O)NNN,"[0.522, 0.21784483155302586, 0.5256151790209629]",[ 0.388      -0.15494072  0.35558308],0
CC1=C(C(C)C(=O)[CH][C@H]2CCC[C@@H](C)N2C(=O)c2cccc(F)c2N)C(O)=NC=C[C@@H]1C(=O)NNN,"[0.522, 0.21784483155302586, 0.5256151790209629]",[ 0.388      -0.15494072  0.35558308],499.5670000000001
CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1(N)NC(=O)C=CN=C1O,"[0.519, 0.504808950971368, 0.5889954385488814]",[0.385      0.1320234  0.41896334],444.4870000000002
0:CC(C(=O)[CH][C@H]1CCC[C@@H](C)N1C(=O)c1cccc(F)c1N)C1(N)NC(=O)C=CN=C1O,"[0.519, 0.504808950971368, 0.5889954385488814]",[0.385      0.1320234  0.41896334],0
