timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.used [MiB]
2023/01/19 18:53:47.223, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:53:47.224, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:53:57.225, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:53:57.225, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:54:07.226, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:54:07.226, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:54:17.227, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:54:17.227, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:54:27.228, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:54:27.228, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:54:37.229, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:54:37.229, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:54:47.230, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:54:47.231, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:54:57.231, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:54:57.232, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:55:07.232, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:55:07.233, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:55:17.242, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:55:17.242, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:55:27.254, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:55:27.254, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:55:37.262, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:55:37.262, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:55:47.270, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:55:47.270, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:55:57.278, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:55:57.278, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:56:07.286, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:56:07.286, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:56:17.298, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:56:17.298, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:56:27.302, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:56:27.302, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:56:37.314, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:56:37.314, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:56:47.318, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:56:47.318, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:56:57.330, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:56:57.330, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:57:07.334, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:57:07.335, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:57:17.342, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:57:17.342, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:57:27.354, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:57:27.354, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:57:37.358, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:57:37.359, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:57:47.360, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:57:47.360, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:57:57.376, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:57:57.376, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:07.378, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:07.378, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:17.382, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:17.382, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:27.384, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:27.385, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:37.394, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:37.394, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:47.395, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:47.395, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:57.396, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 18:58:57.396, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
